client_identifier,bitcoin_address,credit_card_type,email
18,1ErM8yuF3ytzzxLy1uPvQuRveLBygxN15x,china-unionpay,rdrinanh@odnoklassniki.ru
32,12sxmYnPcADAXw1YkxdapRsft2PwHZke7A,maestro,wbamfordv@t-online.de
33,1GZ7QB7GUFSWnkBHmsj4C4EZYMWni6BVn4,mastercard,swestallw@blinklist.com
34,12o8zrHx6snCPbtkoD9im4ozBtNkHRjeRV,visa-electron,erosengrenx@usatoday.com
36,15X53Z9B9jUNrvFpbr7D554uSc5RL7Pnkg,diners-club-international,dbuckthorpz@tmall.com
62,16qpYVt6YAAx4JYjzbA8SwTUHoTyB4twRF,jcb,bbarham1p@wisc.edu
67,12ya1ED93ApPBQRSCuqiehip8KfPEzXYaj,bankcard,lbeavors1u@technorati.com
70,1F8zXTEaf4AFpztMNzQZfo5NUreptaArTD,mastercard,fdresse1x@bloglines.com
91,19MZSy1H8S4SaXsmSc3n7AaL2GxQkQkEZx,diners-club-carte-blanche,aeplate2i@webeden.co.uk
105,13j6FKzrLgumLUqeYH4baeY5qZgiwGW5UC,jcb,linfante2w@telegraph.co.uk
108,1RcsodKknm8thkCL6F4Vcmo7f4A7r6ydj,maestro,rpartkya2z@cdc.gov
109,1HxV2jkyM3PXbsH4qGsVX3hwcAb4SMi4AD,jcb,mdory30@uiuc.edu
110,15cRJ4mzZd4Vgd33xbVjEtYw9c6f1WfGkC,china-unionpay,rswindle31@tmall.com
124,1CB7AdhTFBXmxuABm58yKmCmsvVqDjT9P1,maestro,wdarco3f@geocities.com
128,16DbYq1KR8DVSQu5E9WU9ohuofBm5AHB2Q,diners-club-enroute,vnapthine3j@ning.com
165,1KgbP1KXt5xs2sBLudwt7SZM14NZXN2yNd,jcb,hheinecke4k@altervista.org
177,1AJzqEgbbFh2TNLFZrWp1XgCY16gQQ3pBe,americanexpress,awissbey4w@geocities.jp
189,1PktCHyic9G4aZu15Dd3N1PUf45wW4MmFs,jcb,etsar58@ovh.net
194,12KTfvJwTfnJn3dFtZ8KaLycn5noXetTFo,jcb,igreated5d@live.com
197,1Q6UV84patYXfzEdAabyanzRe4cpNHdfkC,diners-club-enroute,pvolette5g@ask.com
199,1GYuD7hkkRkCeVcx9tMXzQ1LwfAUcHUQfN,jcb,esurcombe5i@bigcartel.com
239,19KrAve717pGFqYLiQvw63yV3Ar6XabJhD,mastercard,hgolley6m@nydailynews.com
248,16WS73NGVmHfpuWqPkEjN9pirzG9qkgvPJ,americanexpress,mbrewer6v@facebook.com
255,1JtjCw3Nj42ZPgeFkgFJAPcVCyvt4sMLPh,jcb,jknowler72@nba.com
293,1PJgSoTde2rSpfYRYpied1y35KVke7kvXo,jcb,lropartz84@meetup.com
294,1DNGHS7oy3K38AnzdAUt8sDw2Dc4WWCj3e,maestro,lmacaskie85@sina.com.cn
296,1A3rYCZeBfy1V1W3ypcfVdZm6TCU3TFkLv,jcb,hmcpake87@bravesites.com
299,1C74dmFYGZiSzsZH6Lw41bWCu8U3mTvcth,diners-club-carte-blanche,cantunez8a@booking.com
326,16tRkPChNu4RTqJ7tkZa52os2HZvh2hjif,americanexpress,calred91@ted.com
329,18nNxGMaqhqrt4sZs5h3fQDDLpJL5wopFy,solo,mnurny94@wikia.com
345,17AGnU1HVmvAt8gwZ4PoF8bGiPS4ARbRxi,jcb,tcosten9k@unc.edu
354,16Q23WzZFnnADqSq9z2oRDJZE7SJ2bFHrS,diners-club-carte-blanche,wochterlonie9t@ebay.com
360,1DTzwp1kZCBx9FED2678d5g5ArrefirrXW,laser,bdebeauchemp9z@imageshack.us
367,1FCv1LeZu798EhajuFMZg49zb5D7KTMZWE,mastercard,mmaghulla6@dmoz.org
379,1HZN5ZVgPqK1iVLKVMxH658kZ3pBDBcEw,jcb,tjahnelai@bbb.org
390,1FpFASo8TTHYuefzybjiNyDfuaFmBGoGwn,jcb,lblydeat@senate.gov
406,1BbeY2TE3u7ARieG5FKuSZzbLFHyBkFoQF,americanexpress,jwhitbreadb9@accuweather.com
414,14mRf7cFYsFjerWYsVWEvGN2zRM7tsLVpT,jcb,jgammonsbh@goo.ne.jp
436,1xVt3FxfHQvzXPhXVp6VRSEydUUVzRWK7,laser,pomannionc3@yandex.ru
450,15wYxjYgszjPnSwa4b3nvkdLfdBMTprQ9y,mastercard,awarringtonch@sogou.com
462,13FaRnAGPb53jC6cw4dQF5qM8XTGRWrY6s,americanexpress,nfitzalanct@japanpost.jp
467,1HHBi9Yt592V74bU5PihuSGekNhGzNGaAw,solo,aanderercy@ameblo.jp
482,1477584qcLw6e2TntjCVBXJAwnS5tUTQJb,visa-electron,vclarisdd@aol.com
486,1CUeR37xJkVY9jVoAh9UYJc4c85RpnNcmD,diners-club-enroute,hpechdh@blogs.com
508,1N4UFev4krTiWmC1Sbygy1NdxrJxMDsm6D,switch,csaltsbergere3@netlog.com
513,18zM2XeTncgJJTm14LDhWbMeUE3nvA8NoD,jcb,fcicceralee8@vk.com
514,191c14CjzgK9DZGE9viRPMyGDqhc2oR46F,mastercard,meliee9@angelfire.com
529,14TyQs6ta2MhC2erewxosQTjmrvn2P4Gzo,jcb,chardikereo@posterous.com
548,1482bkXGupDD66ypoGjdVuewXr3BaK51fE,switch,lfeatherstonehaughf7@dagondesign.com
577,12EgsYruxuyrwHi6bDC9FXqzGAmuUawHKH,jcb,ccolqueteg0@jiathis.com
582,18rq3Gymm7G1gaSLarTBvigCCd1UAmWQP7,mastercard,lsneezumg5@virginia.edu
601,14GghoTqBDngp1V9PjrdPakZnNZi8VZ8F6,jcb,pkynclgo@miibeian.gov.cn
605,1EMUu7w62n5GzRTZ4ZGTUKMwLppUyrD2Pw,visa,kcahengs@bloglines.com
616,1H168tEGqoEeeNDaWmNjyEiubqTz3ZdoKG,jcb,dgwilth3@mapquest.com
621,1MdkbruxnQR61UYstTpKsoqP3fUziVQwei,switch,mhainsh8@parallels.com
627,1HBMpsqrFAcMedVt1kUwzvxjtVcExbiAdV,mastercard,edaenshe@si.edu
628,14EWQTXkWhfiQKkKn5JuD5h3EqzLatXbsQ,jcb,ccasseldinehf@kickstarter.com
643,1BqmYwtSwbG8qWUJyqn8TQPB4pWXAx3jMa,jcb,penglishhu@google.com.hk
656,1PUPePBi6wUMGZomfTqcXojjwYQk7Ha2cu,mastercard,gshirdi7@baidu.com
665,12SF66BTEEAYca9V2JFcty3WmsSksTTsSN,jcb,rklampig@mapquest.com
691,1BMrJy7Ac4pAyq8ciBFfGhATAgcHXaPb6P,jcb,bkidstounj6@senate.gov
701,1Jb4hNfMJy5g4hPtT8kQQ4bbhGdwTbnmjp,jcb,nwhittersjg@networkadvertising.org
706,1HHENRw3k9UaA8uVEKnT5dc46jaQcHwiLf,visa,swaddilovejl@yahoo.com
711,1HsSjH6FpNqbFRckMitfzzPMvXiKHDDL3p,jcb,cguesfordjq@blogs.com
726,13LecqUHZxxptc47RXRDcvhDgQHwxqTKVV,solo,sbarltropk5@cargocollective.com
733,1MJkvsA6ebFvXFasuJxZvfKNBReLTsA3Kr,jcb,fdaulbykc@cocolog-nifty.com
749,17qnQP62quZFAzU7QXFpHjMugPcFyoMXHm,bankcard,mbellenyks@salon.com
751,16pUgN3CTqFCLB2pmBSUjoxyZEreQu4AvB,jcb,callibandku@scribd.com
